T01, T02, T03, T04, T05, T06, T07, T08, T09, T10, T11, T12, T13, T14, T15, T16, T17, T18, T19, T20, T21, T22, T23, T24, T25
18.00,0.00,1.00,2.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,3.00,3.00,3.00,0.00,0.00,3.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00
1.00,10.00,0.00,0.00,0.00,0.00,0.00,14.00,1.00,4.00,0.00,8.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
5.00,0.00,18.00,3.00,1.00,2.00,0.00,0.00,0.00,1.00,1.00,0.00,2.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00
1.00,0.00,0.00,23.00,1.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,1.00,5.00,25.00,2.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,2.00,3.00,0.00,25.00,0.00,0.00,0.00,1.00,0.00,1.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,3.00,4.00,0.00,32.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,1.00,0.00,0.00,0.00,0.00,0.00,32.00,1.00,0.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,9.00,0.00,0.00,0.00,0.00,1.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,19.00,11.00,2.00,2.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,6.00,5.00,24.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,6.00,0.00,0.00,0.00,0.00,0.00,5.00,1.00,1.00,0.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,2.00,1.00,5.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,27.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.00,4.00,1.00,1.00,0.00,2.00,1.00,0.00,0.00,0.00,0.00,8.00,3.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,2.00,0.00,2.00,0.00,1.00,0.00,0.00,7.00,0.00,1.00,2.00,2.00,1.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,5.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,5.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,20.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00
0.00,1.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00
3.00,2.00,1.00,0.00,0.00,1.00,0.00,1.00,4.00,3.00,0.00,14.00,1.00,1.00,2.00,0.00,1.00,0.00,1.00,5.00,0.00,0.00,0.00,0.00,0.00
2.00,2.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,25.00,1.00,0.00,1.00,0.00
7.00,0.00,2.00,0.00,0.00,0.00,3.00,0.00,2.00,5.00,1.00,0.00,2.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,13.00,1.00,0.00,1.00
2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,3.00,0.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,1.00,0.00,2.00,21.00,2.00,2.00
3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,8.00,22.00,2.00
3.00,1.00,3.00,0.00,0.00,4.00,1.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,1.00,0.00,4.00,0.00,0.00,4.00,0.00,0.00,1.00,2.00,13.00
